Type,First Name,Last Name,Company,Email,Phone,Phone 2,Fax,Address,Address 2,City,State,Zip,APN,Property Address,Property City,Property County,Property State,Property Zip,Property Size,Short Legal Description,Offer Amount,Market Value,Assessed Value,Repair Estimate
Company,,,Aiken Christopher P & Barbara S Trustees Of The Aiken Family,,,,,225 Westwood Rd,,Annapolis,MD,21401,1-000748,Holly Dr,Hays Beach,St Mary's County,MD,20687,0.1435,Hays Beach\Lot 2\Section 1\Hays Beach,,,31200,
Company,,,Berube Mary Virginia & Bannat Betty C Trustee,,,,,38005 Lockes Crossing Rd,,Mechanicsville,MD,20659,1-001876,17225 Saint Jeromes Neck Road,Part Of Calverts Neck,St Mary's County,MD,20628,95,\95.00 Acres\W/S St Jeromes Neck Rd\Part Of Calverts Neck,,,19000,
Company,,,Chi Centers Incorporated,,,,,10501 New Hampshire Ave,,Silver Spring,MD,20903,1-000152,17471 Mount Zion Church Road,St Inigoes,St Mary's County,MD,20684,5.25,\5.25 Acres\W/S Md Rt 5\St Inigoes,,,91100,
Company,,,Chi Centers Incorporated,,,,,10501 New Hampshire Ave,,Silver Spring,MD,20903,1-000160,49325 Bennett Dr,Ridge,St Mary's County,MD,20680,1,\1.00 Acre\W/S Md Rt 235\Ridge,,,83800,
Company,,,First Friendship United Methodist Church Of Ridge Trustees,,,,,PO Box 95 C/O First Saints Comm. Ch.,,Leonardtown,MD,20650,1-000233,W Rt 5,,St Mary's County,MD,,0.7136,"\31,084 Sq Ft\Off W/W Md Rt 5\",,,31000,
Company,,,Commissioners Of St Marys County,,,,,PO Box 653,,Leonardtown,MD,20650,1-001221,17534 Three Notch Road,,St Mary's County,MD,,2.24,\2.24 Acres\L/S Three Notch Rd\,,,94267,
Company,,,Clarke Elizabeth S Trustee,,,,,PO Box 68,,St Inigoes,MD,20684,1-001914,Waterview Dr,Bluestone Estates,St Mary's County,MD,,0.576,Bluestone Estates\Lot 15 Section 1\Plat 4/75\Bluestone Estat,,,73600,
Company,,,Commissioners Of St Marys County,,,,,PO Box 653,,Leonardtown,MD,20650,1-002104,Rt 235,Ridge,St Mary's County,MD,20680,1,\1.00 Acre\W/S Md Rt 235\Ridge,,,80000,
Company,,,Millison Rachelle Trustee,,,,,21909 Three Notch Rd,,Lexington Park,MD,20653,1-002112,49658 Fresh Pond Neck Road,Ridge,St Mary's County,MD,20680,0.66,"\28,749 Sq Ft\N/S Fresh Pond Neck Rd\Ridge",,,69800,
Company,,,State Of Maryland St Mary'S City Commission,,,,,St Marys City Comm PO Box 39,,St Mary'S City,MD,20686,1-012290,Three Notch Road,,St Mary's County,MD,,1.72,\1.72 Acres\R/S Bauer Rd\,,,76700,
Company,,,Brunk Russell W Trustee Russell W Brunk Revocable Living T,,,,,49235 Trapp Rd PO Box 203,,Dameron,MD,20628,1-003003,49235 Trapp Road,Dameron,St Mary's County,MD,20628,2.26,\2.265 Acres\S/S Trapp Rd\Dameron,,,87100,
Company,,,Commissioners Of St Marys County,,,,,PO Box 653,,Leonardtown,MD,20653,1-003127,,Leachburg,St Mary's County,MD,,0.2214,Leachburg\Lot 4\Section 3\Leachburg,,,65600,
Company,,,Winston Janice C Trustee Janice C Winston Family Trust,,,,,266 E Johnson St,,Philadelphia,PA,19144,1-003992,Beachville Road,St Inigoes,St Mary's County,MD,20684,6,\6.00 Acres\S/S Beachville Rd\St Inigoes,,,32900,
Company,,,Commissioners Of St Marys County,,,,,PO Box 653,,Leonardtown,MD,20650,1-004352,Beachville Road,,St Mary's County,MD,,0.5,"\21,780 Sf\S/S Beachville Rd\",,,62100,
Company,,,Aiken Christopher P Trustee & Barbara S Trustee,,,,,225 Westwood Rd,,Annapolis,MD,21401,1-005294,14643 Bay Front Dr,Aiken Boundary Surve,St Mary's County,MD,20687,2.94,\P/O Parcel 1 & All O\Deed Ewa 2566/255\Aiken Boundary Surve,,,58800,
Company,,,State Of Maryland Board Of Trustees St Marys Col,,,,,St Marys College,,St Marys City,MD,20686,1-005855,Fisher Road,St Marys College,St Mary's County,MD,,0.75,"\32,670 Sf\Crnr Mattapany & Fisher\St Marys College",,,72900,
Company,,,State Of Maryland Department Of Natural Resources,,,,,Tawes State Office Building Dnr,,Annapolis,MD,21401,1-005987,11175 Point Lookout Road,Scotland Beach,St Mary's County,MD,,0.32,"\13,939 Sq Ft\L/S Point Lookout Rd\Scotland Beach",,,13900,
Company,,,State Of Maryland St Marys City Commission,,,,,St Marys City Comm PO Box 39,,St Marys City,MD,20686,1-006061,Point Lookout Road,St Marys City,St Mary's County,MD,,1,\Pt Lot 82 Eq 1.00 Ac\Plat 9/174\St Marys City,,,83800,
Company,,,State Of Maryland Dept Of Natural Resources,,,,,Tawes Office Building Dnr,,Annapolis,MD,21401,1-006215,10465 Point Lookout Road,Pt Lookout,St Mary's County,MD,,0.47,\Six Lots\10465 Point Lookout Rd\Pt Lookout,,,60700,
